Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01000139,Barnet 041B,4,Household is deprived in three dimensions,13
E01000139,Barnet 041B,5,Household is deprived in four dimensions,2
E01000140,Barnet 041C,-8,Does not apply,0
E01000140,Barnet 041C,1,Household is not deprived in any dimension,485
E01000140,Barnet 041C,2,Household is deprived in one dimension,259
E01000140,Barnet 041C,3,Household is deprived in two dimensions,95
E01000140,Barnet 041C,4,Household is deprived in three dimensions,25
E01000140,Barnet 041C,5,Household is deprived in four dimensions,3
E01000141,Barnet 039A,-8,Does not apply,0
E01000141,Barnet 039A,1,Household is not deprived in any dimension,294
E01000141,Barnet 039A,2,Household is deprived in one dimension,289
E01000141,Barnet 039A,3,Household is deprived in two dimensions,137
E01000141,Barnet 039A,4,Household is deprived in three dimensions,61
E01000141,Barnet 039A,5,Household is deprived in four dimensions,7
E01000142,Barnet 040B,-8,Does not apply,0
E01000142,Barnet 040B,1,Household is not deprived in any dimension,382
E01000142,Barnet 040B,2,Household is deprived in one dimension,333
E01000142,Barnet 040B,3,Household is deprived in two dimensions,133
E01000142,Barnet 040B,4,Household is deprived in three dimensions,37
E01000142,Barnet 040B,5,Household is deprived in four dimensions,8
E01000143,Barnet 041D,-8,Does not apply,0
E01000143,Barnet 041D,1,Household is not deprived in any dimension,278
E01000143,Barnet 041D,2,Household is deprived in one dimension,246
E01000143,Barnet 041D,3,Household is deprived in two dimensions,108
E01000143,Barnet 041D,4,Household is deprived in three dimensions,41
E01000143,Barnet 041D,5,Household is deprived in four dimensions,6
E01000144,Barnet 038C,-8,Does not apply,0
E01000144,Barnet 038C,1,Household is not deprived in any dimension,324
E01000144,Barnet 038C,2,Household is deprived in one dimension,280
E01000144,Barnet 038C,3,Household is deprived in two dimensions,79
E01000144,Barnet 038C,4,Household is deprived in three dimensions,31
E01000144,Barnet 038C,5,Household is deprived in four dimensions,29
E01000145,Barnet 037A,-8,Does not apply,0
E01000145,Barnet 037A,1,Household is not deprived in any dimension,248
E01000145,Barnet 037A,2,Household is deprived in one dimension,147
E01000145,Barnet 037A,3,Household is deprived in two dimensions,58
E01000145,Barnet 037A,4,Household is deprived in three dimensions,30
E01000145,Barnet 037A,5,Household is deprived in four dimensions,6
E01000146,Barnet 038D,-8,Does not apply,0
E01000146,Barnet 038D,1,Household is not deprived in any dimension,390
E01000146,Barnet 038D,2,Household is deprived in one dimension,304
E01000146,Barnet 038D,3,Household is deprived in two dimensions,120
E01000146,Barnet 038D,4,Household is deprived in three dimensions,47
E01000146,Barnet 038D,5,Household is deprived in four dimensions,8
E01000147,Barnet 043F,-8,Does not apply,0
E01000147,Barnet 043F,1,Household is not deprived in any dimension,264
E01000147,Barnet 043F,2,Household is deprived in one dimension,205
E01000147,Barnet 043F,3,Household is deprived in two dimensions,76
E01000147,Barnet 043F,4,Household is deprived in three dimensions,13
E01000147,Barnet 043F,5,Household is deprived in four dimensions,2
E01000150,Barnet 036A,-8,Does not apply,0
E01000150,Barnet 036A,1,Household is not deprived in any dimension,346
E01000150,Barnet 036A,2,Household is deprived in one dimension,298
E01000150,Barnet 036A,3,Household is deprived in two dimensions,105
E01000150,Barnet 036A,4,Household is deprived in three dimensions,23
E01000150,Barnet 036A,5,Household is deprived in four dimensions,3
E01000151,Barnet 026B,-8,Does not apply,0
E01000151,Barnet 026B,1,Household is not deprived in any dimension,160
E01000151,Barnet 026B,2,Household is deprived in one dimension,260
E01000151,Barnet 026B,3,Household is deprived in two dimensions,169
