"Address"	Latitude	Longitude	Easting	Northing
"NW11 0AS"	51.588034	-0.201732	524678	189218
"EN4 9PE (3)"	51.650325	-0.167708	526861	196204
"NW11 9LH"	51.580111	-0.213476	523886	188317
"N12 7DQ (2)"	51.620828	-0.186651	525632	192891
"N12 7DQ"	51.620828	-0.186651	525632	192891
"NW4 4LP"	51.592841	-0.230402	522679	189704
"N20 9LN"	51.63304	-0.176067	526331	194267
"NW4 4LD"	51.589157	-0.225868	523003	189302
"NW2 6QE (6)"	51.560037	-0.218591	523586	186076
"NW4 3ER (3)"	51.580257	-0.235538	522357	188296
"NW4 4UY"	51.596429	-0.233103	522482	190099
"NW4 4JN"	51.591893	-0.23224	522554	189596
"N2 0NB"	51.590534	-0.170321	526847	189550
"NW11 8BD"	51.575839	-0.203018	524622	187860
"NW2 2PG"	51.559826	-0.197893	525021	186088
"N3 3QT"	51.596299	-0.193594	525219	190151
"NW4 4TN"	51.599856	-0.234934	522346	190477
"NW2 2TP"	51.560895	-0.197822	525023	186207
"HA8 8XD"	51.626712	-0.266631	520080	193411
"NW11 7HA"	51.576669	-0.197342	525013	187962
"NW11 7HA"	51.576669	-0.197342	525013	187962
"NW4 3PS (3)"	51.576956	-0.233945	522476	187932
"NW4 2SA (2)"	51.587691	-0.215199	523746	189157
"N3 3NE"	51.594528	-0.196523	525021	189949
"NW4 4PH (2)"	51.581356	-0.236275	522303	188417
"NW11 9BY (2)"	51.576397	-0.2058	524428	187917
"NW4 3HN"	51.574072	-0.230323	522735	187617
"EN5 5JJ"	51.64937	-0.178024	526150	196080
"N11 1BT"	51.620646	-0.137152	529059	192957
"NW11 8DY"	51.571723	-0.196182	525107	187414
"NW11 8BH"	51.575675	-0.200936	524767	187845
"NW11 8AL"	51.5677	-0.197134	525052	186965
"N2 0SU (2)"	51.591996	-0.178751	526259	189698
"N2 8DB (2)"	51.592007	-0.166966	527075	189720
"NW2 1PL (2)"	51.565805	-0.21587	523759	186722
"NW2 1EA (2)"	51.567439	-0.211761	524039	186911
"NW11 9PP (2)"	51.578756	-0.208561	524230	188175
"NW11 8DJ"	51.563668	-0.197467	525040	186516
"NW2 1JH"	51.569229	-0.210046	524153	187113
"N3 2SG"	51.598623	-0.188044	525597	190419
"N12 8DT (2)"	51.612359	-0.18016	526105	191960
"N2 9AL"	51.600449	-0.172377	526677	190649
"NW9 7AT (2)"	51.574594	-0.238352	522177	187662
"NW4 3JR"	51.583097	-0.227706	522892	188625
"N2 8BD"	51.590352	-0.166961	527080	189536
"NW11 9LD (3)"	51.585942	-0.210172	524099	188971
