Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01000126,Barnet 026A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,48
E01000126,Barnet 026A,13,"White: English, Welsh, Scottish, Northern Irish or British",449
E01000126,Barnet 026A,14,White: Irish,30
E01000126,Barnet 026A,15,White: Gypsy or Irish Traveller,2
E01000126,Barnet 026A,16,White: Roma,2
E01000126,Barnet 026A,17,White: Other White,379
E01000126,Barnet 026A,18,Other ethnic group: Arab,151
E01000126,Barnet 026A,19,Other ethnic group: Any other ethnic group,156
E01000127,Barnet 024B,-8,Does not apply,0
E01000127,Barnet 024B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",20
E01000127,Barnet 024B,2,"Asian, Asian British or Asian Welsh: Chinese",36
E01000127,Barnet 024B,3,"Asian, Asian British or Asian Welsh: Indian",138
E01000127,Barnet 024B,4,"Asian, Asian British or Asian Welsh: Pakistani",42
E01000127,Barnet 024B,5,"Asian, Asian British or Asian Welsh: Other Asian",169
E01000127,Barnet 024B,6,"Black, Black British, Black Welsh, Caribbean or African: African",209
E01000127,Barnet 024B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",59
E01000127,Barnet 024B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",19
E01000127,Barnet 024B,9,Mixed or Multiple ethnic groups: White and Asian,22
E01000127,Barnet 024B,10,Mixed or Multiple ethnic groups: White and Black African,24
E01000127,Barnet 024B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,19
E01000127,Barnet 024B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,15
E01000127,Barnet 024B,13,"White: English, Welsh, Scottish, Northern Irish or British",379
E01000127,Barnet 024B,14,White: Irish,52
E01000127,Barnet 024B,15,White: Gypsy or Irish Traveller,0
E01000127,Barnet 024B,16,White: Roma,10
E01000127,Barnet 024B,17,White: Other White,228
E01000127,Barnet 024B,18,Other ethnic group: Arab,40
E01000127,Barnet 024B,19,Other ethnic group: Any other ethnic group,77
E01000128,Barnet 024C,-8,Does not apply,0
E01000128,Barnet 024C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",16
E01000128,Barnet 024C,2,"Asian, Asian British or Asian Welsh: Chinese",113
E01000128,Barnet 024C,3,"Asian, Asian British or Asian Welsh: Indian",134
E01000128,Barnet 024C,4,"Asian, Asian British or Asian Welsh: Pakistani",54
E01000128,Barnet 024C,5,"Asian, Asian British or Asian Welsh: Other Asian",220
E01000128,Barnet 024C,6,"Black, Black British, Black Welsh, Caribbean or African: African",332
E01000128,Barnet 024C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",37
E01000128,Barnet 024C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7
E01000128,Barnet 024C,9,Mixed or Multiple ethnic groups: White and Asian,22
